Item,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63
clobazam,1.7613431,2.9321527,3.9085324,3.1890624,0.0,4.1212916,2.2982428,2.8957753,3.7260737,0.8068125,0.0,0.7480592,2.4823477,3.8084383,0.0,0.0,3.822648,4.7421794,4.526734,2.455778,0.0,0.0,0.0,2.8609712,0.0,0.0,1.1671628,0.0,0.0,0.0,0.0,0.0,0.0,1.9245389,0.0,0.0,2.014774,0.0,0.0,0.0,2.0621073,4.3480806,0.0,2.2575698,0.0,3.623531,0.66977215,0.0,2.2933517,2.6359203,0.0,0.552265,2.7064605,0.81453764,0.0,0.0,0.0,1.5331899,0.0,2.6248965,5.2149024,1.3525001,0.0,0.0
vinorelbine,0.0,1.291259,0.0,1.1864574,0.8942474,0.9247886,0.54823333,0.0,1.837201,1.9898833,0.0,2.2693627,0.7910211,2.109471,0.0,0.0,2.8694525,1.5952739,0.8814574,0.3343385,0.0,2.291774,0.0,1.8001968,0.7032003,0.0,1.8928021,0.0,0.0,0.0,0.19441631,0.0,0.5089043,0.43406162,0.0,0.0,0.49999544,0.0,0.0,0.0,1.7380781,2.9090338,0.0,0.81824946,2.2870038,2.684292,2.200742,0.0,0.3572392,0.0,0.0,2.3929515,0.8632753,2.3853931,0.0,0.0,0.0,0.8728129,0.0,2.2902606,3.2312944,0.7479701,0.0,0.0
carvedilol,0.41721436,2.961778,2.3837056,3.4260542,0.0,3.7243524,1.9416229,1.365813,3.4747968,1.9413584,0.0,2.169954,2.5018487,3.5419688,0.0,0.0,4.4853005,4.462913,3.6668003,1.9913279,0.0,1.064394,0.0,3.263092,0.39780414,0.0,2.2132292,0.0,0.0,0.0,0.0,0.0,0.0,1.6398462,0.0,0.0,1.9016622,0.0,0.0,0.0,2.584288,5.155854,0.0,1.9601712,1.2640355,4.5075045,1.5422771,0.0,1.6192769,1.1759717,0.0,1.4530644,2.7244372,1.387292,0.0,0.0,0.0,1.6347013,0.0,3.3757784,5.703364,1.0931406,0.0,0.0
benazepril,0.13378713,2.8917518,2.102638,3.3297484,0.0,3.4925747,1.8361562,1.0106896,3.4102902,2.0862083,0.0,2.245355,2.401896,3.4592485,0.0,0.0,4.434989,4.29693,3.4295497,1.8128577,0.0,1.3389674,0.0,3.251028,0.45974323,0.0,2.2773752,0.0,0.0,0.0,0.0,0.0,0.0,1.5507983,0.0,0.0,1.8079916,0.0,0.0,0.0,2.6112914,5.101796,0.0,1.8985716,1.5287122,4.445875,1.7021058,0.0,1.4836566,0.9163701,0.0,1.6532621,2.5741389,1.5583751,0.0,0.0,0.0,1.5953189,0.0,3.3760805,5.606737,1.0668085,0.0,0.0
leflunomide,1.883391,2.8355625,4.2699986,2.935515,0.0,3.8289208,2.3415656,3.0038033,3.7988746,0.49607354,0.0,0.10689924,2.3326569,3.8048518,0.0,0.0,3.3223886,4.6208797,4.561917,2.317129,0.0,0.0,0.0,2.6335454,0.0,0.2811939,0.70809233,0.0,0.0,0.0,0.0,0.0,0.0,1.9034551,0.0,0.0,1.8808895,0.0,0.0,0.0,1.8387403,3.8466208,0.0,2.3276303,0.0,3.041549,0.45359814,0.0,2.4128852,2.9726276,0.0,0.49789387,2.45036,0.8338655,0.0,0.0,0.0,1.3795596,0.0,2.1763463,4.781955,1.4724207,0.0,0.0
lamotrigine,1.6297185,2.8085773,4.304806,2.8044183,0.0,3.4138815,2.3552058,2.68624,3.8911405,0.51428175,0.0,0.0,2.2252018,3.7638884,0.0,0.0,2.957624,4.486884,4.417324,2.032282,0.0,0.0,0.0,2.5828578,0.0,0.34960714,0.48374334,0.0,0.0,0.0,0.0,0.0,0.0,1.7891515,0.0,0.0,1.7361133,0.0,0.0,0.0,1.799697,3.568079,0.0,2.3589172,0.0,2.6800804,0.45841363,0.0,2.3643434,2.9843419,0.0,0.7453287,2.200906,1.0076157,0.0,0.0,0.0,1.2704986,0.0,1.9207602,4.4964805,1.5682544,0.0,0.0
nefazodone,0.0,2.6875165,1.6120467,3.0994608,0.0,3.2883332,1.5957993,0.6905987,3.1068513,2.1583245,0.0,2.5702586,2.2025428,3.2652912,0.0,0.0,4.4788537,3.922612,3.0512638,1.7098358,0.0,1.6323816,0.0,3.0954714,0.5685792,0.0,2.4413638,0.0,0.0,0.0,0.0,0.0,0.0,1.4338127,0.0,0.0,1.6607227,0.0,0.0,0.0,2.5947297,4.9575686,0.0,1.7138093,1.7868099,4.4556694,1.8255115,0.0,1.2840732,0.47487742,0.0,1.6532383,2.4429054,1.6046774,0.0,0.0,0.0,1.5630183,0.0,3.3906088,5.4602737,0.9545767,0.0,0.0
trandolapril,0.07669903,2.8663626,2.0219095,3.3031619,0.0,3.4518766,1.7995578,0.93813974,3.378198,2.1167347,0.0,2.2857385,2.3750143,3.4327354,0.0,0.0,4.4348717,4.2510333,3.3682191,1.7825,0.0,1.4048728,0.0,3.239493,0.48096612,0.0,2.3049412,0.0,0.0,0.0,0.0,0.0,0.0,1.5308694,0.0,0.0,1.7883049,0.0,0.0,0.0,2.6147947,5.0907516,0.0,1.8729662,1.5903853,4.4444957,1.7361233,0.0,1.4480625,0.8466589,0.0,1.6829635,2.5460582,1.5855292,0.0,0.0,0.0,1.5880226,0.0,3.3826096,5.58566,1.0506161,0.0,0.0
clopidogrel,1.6173097,2.9475503,3.6000626,3.2991204,0.0,4.2195954,2.2322695,2.7395968,3.6243699,1.0191324,0.0,1.1694881,2.5384436,3.7615385,0.0,0.0,4.0905128,4.7496986,4.41114,2.4818327,0.0,0.0,0.0,2.967039,0.06016634,0.0,1.4626409,0.0,0.0,0.0,0.0,0.0,0.0,1.8992435,0.0,0.0,2.0592084,0.0,0.0,0.0,2.1798117,4.610321,0.0,2.1796396,0.0,3.9567518,0.82933164,0.0,2.1818407,2.3505173,0.0,0.60476583,2.8257377,0.8208442,0.0,0.0,0.0,1.6056561,0.0,2.877498,5.4149437,1.2586827,0.0,0.0
gemcitabine,1.4052026,2.8684127,4.129986,2.8785236,0.0,3.3046236,2.3465114,2.4313765,3.9295187,0.69080615,0.0,0.0,2.2483017,3.7333934,0.0,0.0,3.0099761,4.4723535,4.3344836,1.9240533,0.0,0.0,0.0,2.670481,0.0,0.2202941,0.5858371,0.0,0.0,0.0,0.0,0.0,0.0,1.7639716,0.0,0.0,1.7158931,0.0,0.0,0.0,1.889053,3.7293181,0.0,2.3579144,0.0,2.7536612,0.5838988,0.0,2.2685015,2.8169215,0.0,0.962678,2.1737416,1.1423308,0.0,0.0,0.0,1.2793009,0.0,2.0109098,4.6154146,1.5515043,0.0,0.0
